Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Perez, B; Castellanos, C; Correal, D; ",A computational model of a natural language processing system for architectural technical debt management,Journal of Physics: Conference Series,1587,1,012020,2020,IOP Publishing
"Fontana, Francesca Arcelli; Pigazzini, Ilaria; ",Evaluating the Architectural Debt of IoT Projects,2021 IEEE/ACM 3rd International Workshop on Software Engineering Research and Practices for the IoT (SERP4IoT),,,27-31,2021,IEEE
"Silva, Lakmal; ",On Identifying Technical Debt using Bug Reports in Practice,,,,,2023,Blekinge Tekniska Högskola
"Nikolaidis, Nikolaos; Ampatzoglou, Apostolos; Chatzigeorgiou, Alexander; Tsekeridou, Sofia; Piperidis, Avraam; ",Technical debt in service-oriented software systems,International Conference on Product-Focused Software Process Improvement,,,265-281,2022,Springer
"Rolland, Knut-H; Lyytinen, Kalle; ",Exploring the Tensions Between Management of Architectural Debt and Digital Innovation: The Case of a Financial Organization,,,,,2021,
"Saraiva, Diego; Neto, José Gameleira; Kulesza, Uirá; Freitas, Guilherme; Reboucas, Rodrigo; Coelho, Roberta; ",Technical Debt Tools: A Systematic Mapping Study.,ICEIS (2),,,88-98,2021,
"Kozanidis, Nicholas; Verdecchia, Roberto; Guzmán, Emitzá; ",Asking about Technical Debt,,,,,2022,
"Xiao, Lu; Cai, Yuanfang; Kazman, Rick; Mo, Ran; Feng, Qiong; ",Detecting the locations and predicting the maintenance costs of compound architectural debts,IEEE Transactions on Software Engineering,48,9,3686-3715,2021,IEEE
"Khomyakov, Ilya; Makhmutov, Zufar; Mirgalimova, Ruzilya; Sillitti, Alberto; ",An analysis of automated technical debt measurement,"Enterprise Information Systems: 21st International Conference, ICEIS 2019, Heraklion, Crete, Greece, May 3–5, 2019, Revised Selected Papers 21",,,250-273,2020,Springer
"Behutiye, Woubshet Nema; Rodríguez, Pilar; Oivo, Markku; Tosun, Ayşe; ",Analyzing the concept of technical debt in the context of agile software development: A systematic literature review,Information and Software Technology,82,,139-158,2017,Elsevier
"Malakuti, Somayeh; Heuschkel, Jens; ",The need for holistic technical debt management across the value stream: Lessons learnt and open challenges,2021 IEEE/ACM International Conference on Technical Debt (TechDebt),,,109-113,2021,IEEE
"Martini, Antonio; Fontana, Francesca Arcelli; Biaggi, Andrea; Roveda, Riccardo; ",Identifying and prioritizing architectural debt through architectural smells: a case study in a large software company,"Software Architecture: 12th European Conference on Software Architecture, ECSA 2018, Madrid, Spain, September 24–28, 2018, Proceedings 12",,,320-335,2018,Springer
"Faus, Jose Bonet; Le Masson, Pascal; Pelissier, Ugo; Jibet, Nafissa; Bordas, Antoine; Pajot, Sébastien; ",Design methods for Diagnosing and Locating Entangled Technical Debt in DevOps frameworks,Proceedings of the Design Society,3,,1267-1276,2023,Cambridge University Press
"Tamburri, Damian A; ",Software architecture social debt: Managing the incommunicability factor,IEEE Transactions on Computational Social Systems,6,1,20-37,2019,IEEE
"Vogel-Heuser, Birgit; Rösch, Susanne; ",Applicability of technical debt as a concept to understand obstacles for evolution of automated production systems,"2015 IEEE International Conference on Systems, Man, and Cybernetics",,,127-132,2015,IEEE
"Conejero, José M; Rodríguez-Echeverría, Roberto; Hernández, Juan; Clemente, Pedro J; Ortiz-Caraballo, Carmen; Jurado, Elena; Sánchez-Figueroa, Fernando; ",Early evaluation of technical debt impact on maintainability,Journal of Systems and Software,142,,92-114,2018,Elsevier
"Besker, Terese; Martini, Antonio; Bosch, Jan; ",The pricey bill of technical debt: When and by whom will it be paid?,2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),,,13-23,2017,IEEE
"Verdecchia, Roberto; Maggi, Kevin; Scommegna, L; Vicario, E; ",Tracing the footsteps of technical debt in microservices: A preliminary case study,International Workshop on Quality in Software Architecture,,,,2023,
"Detofeno, Thober; Malucelli, Andreia; Reinehr, Sheila; ",Technical Debt Guild: managing technical debt from code up to build,Journal of Software Engineering Research and Development,,,1: 1-1: 15,2023,
"Stochel, Marek G; Chołda, Piotr; Wawrowski, Mariusz R; ",On coherence in technical debt research: Awareness of the risks stemming from the metaphorical origin and relevant remediation strategies,2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,367-375,2020,IEEE
"Hacks, Simon; Jung, Jürgen; ",A first validation of the enterprise architecture debts concept,"International Conference on Business Process Modeling, Development and Support",,,217-226,2023,Springer
"Skiada, Peggy; Ampatzoglou, Apostolos; Arvanitou, Elvira-Maria; Chatzigeorgiou, Alexander; Stamelos, Ioannis; ",Exploring the relationship between software modularity and technical debt,2018 44th Euromicro Conference on software engineering and advanced applications (SEAA),,,404-407,2018,IEEE
"Ampatzoglou, Areti; Ampatzoglou, Apostolos; Chatzigeorgiou, Alexander; Avgeriou, Paris; Abrahamsson, Pekka; Martini, Antonio; Zdun, Uwe; Systa, Kari; ",The perception of technical debt in the embedded systems domain: an industrial case study,2016 IEEE 8th International Workshop on Managing Technical Debt (MTD),,,9-16,2016,IEEE
"Kleinwaks, Howard; Batchelor, Ann; Bradley, Thomas H; ",Technical debt in systems engineering—A systematic literature review,Systems Engineering,26,5,675-687,2023,Wiley Online Library
"Lenarduzzi, Valentina; Martini, Antonio; Saarimäki, Nyyti; Tamburri, Damian Andrew; ",Technical debt impacting lead-times: An exploratory study,2021 47th euromicro conference on software engineering and advanced applications (seaa),,,188-195,2021,IEEE
"Klimczyk, Paweł; Madeyski, Lech; ",Technical debt aware estimations in software engineering: A systematic mapping study,e-Informatica Software Engineering Journal,14,1,,2020,
"Biazotto, João Paulo; Feitosa, Daniel; Avgeriou, Paris; Nakagawa, Elisa Yumi; ",Technical debt management automation: State of the art and future perspectives,Information and Software Technology,,,107375,2023,Elsevier
"Lenarduzzi, Valentina; Besker, Terese; Taibi, Davide; Martini, Antonio; Fontana, Francesca Arcelli; ",Technical debt prioritization: State of the art. A systematic literature review,arXiv preprint arXiv:1904.12538,,,,2019,
"Freitas, Guilherme; Reboucas, Rodrigo; Coelho, Roberta; ",Exploring Technical Debt Tools: A Systematic Mapping Study,"Enterprise Information Systems: 23rd International Conference, ICEIS 2021, Virtual Event, April 26–28, 2021, Revised Selected Papers",455,,280,2022,Springer Nature
